LAMBDA,G,G_err,BP,BP_err,RP,RP_err
3207.5,7.68941363e-08,1.57552894e-08,0.00,0.00,0.00,0.00
3210,9.38403445e-08,2.33647206e-08,0.00,0.00,0.00,0.00
3212.5,1.84296772e-07,6.99700422e-08,0.00,0.00,0.00,0.00
3215,2.74753199e-07,1.16764174e-07,0.00,0.00,0.00,0.00
3217.5,3.65209627e-07,1.63585167e-07,0.00,0.00,0.00,0.00
3220,4.55666054e-07,2.10415090e-07,0.00,0.00,0.00,0.00
3222.5,8.99252005e-07,4.58280892e-07,0.00,0.00,0.00,0.00
3225,1.34283796e-06,7.06225921e-07,0.00,0.00,0.00,0.00
3227.5,1.78642391e-06,9.54188419e-07,0.00,0.00,0.00,0.00
3230,2.23000986e-06,1.20215758e-06,0.00,0.00,0.00,0.00
3232.5,4.38797823e-06,2.42433056e-06,0.00,0.00,0.00,0.00
3235,6.54594659e-06,3.64657856e-06,0.00,0.00,0.00,0.00
3237.5,8.70391496e-06,4.86884508e-06,0.00,0.00,0.00,0.00
3240,1.08618833e-05,6.09111897e-06,0.00,0.00,0.00,0.00
3242.5,2.00867002e-05,1.11535757e-05,0.00,0.00,0.00,0.00
3245,2.93115171e-05,1.62160443e-05,0.00,0.00,0.00,0.00
3247.5,3.85363340e-05,2.12785164e-05,0.00,0.00,0.00,0.00
3250,4.77611509e-05,2.63409899e-05,2.17232803e-04,1.13429894e-05,0.00,0.00
3252.5,8.06289515e-05,4.35212943e-05,3.91718612e-04,2.07091905e-05,0.00,0.00
3255,1.13496752e-04,6.07029018e-05,5.84019534e-04,3.10338652e-05,0.00,0.00
3257.5,1.46364553e-04,7.78849500e-05,7.94135567e-04,4.23169340e-05,0.00,0.00
3260,1.79232353e-04,9.50671999e-05,1.02206671e-03,5.45583767e-05,0.00,0.00
3262.5,2.72001977e-04,1.40322357e-04,1.71216252e-03,9.16366832e-05,0.00,0.00
3265,3.64771600e-04,1.85581762e-04,2.51774126e-03,1.34929206e-04,0.00,0.00
3267.5,4.57541224e-04,2.30842917e-04,3.43880293e-03,1.84435382e-04,0.00,0.00
3270,5.50310847e-04,2.76104961e-04,4.47534754e-03,2.40155026e-04,0.00,0.00
3272.5,7.60122416e-04,3.67314668e-04,6.28201718e-03,3.31943102e-04,0.00,0.00
3275,9.69933984e-04,4.58533984e-04,8.28136936e-03,4.33409605e-04,0.00,0.00
3277.5,1.17974555e-03,5.49758126e-04,1.04734041e-02,5.44553910e-04,0.00,0.00
3280,1.38955712e-03,6.40985033e-04,1.28581213e-02,6.65375729e-04,0.00,0.00
3282.5,1.78310053e-03,7.93125861e-04,1.60358712e-02,8.12410918e-04,0.00,0.00
3285,2.17664394e-03,9.45286246e-04,1.93653123e-02,9.66366777e-04,0.00,0.00
3287.5,2.57018734e-03,1.09745806e-03,2.28464448e-02,1.12724144e-03,0.00,0.00
3290,2.96373075e-03,1.24963711e-03,2.64792687e-02,1.29503386e-03,0.00,0.00
3292.5,3.59142863e-03,1.47650610e-03,3.10486782e-02,1.49829842e-03,0.00,0.00
3295,4.21912651e-03,1.70340097e-03,3.55997434e-02,1.70076871e-03,0.00,0.00
3297.5,4.84682439e-03,1.93031260e-03,4.01324643e-02,1.90243728e-03,0.00,0.00
3300,5.47452227e-03,2.15723571e-03,4.46468410e-02,2.10329959e-03,0.00,0.00
3302.5,6.35132491e-03,2.45651715e-03,5.08848885e-02,2.37808709e-03,0.00,0.00
3305,7.22812755e-03,2.75582795e-03,5.71191773e-02,2.65275212e-03,0.00,0.00
3307.5,8.10493018e-03,3.05515948e-03,6.33497072e-02,2.92728247e-03,0.00,0.00
3310,8.98173282e-03,3.35450618e-03,6.95764784e-02,3.20167015e-03,0.00,0.00
3312.5,1.00799913e-02,3.71187758e-03,7.75133220e-02,3.55430202e-03,0.00,0.00
3315,1.11782497e-02,4.06927931e-03,8.54655343e-02,3.90768097e-03,0.00,0.00
3317.5,1.22765082e-02,4.42670404e-03,9.34331153e-02,4.26179127e-03,0.00,0.00
3320,1.33747666e-02,4.78414661e-03,1.01416065e-01,4.61662198e-03,0.00,0.00
3322.5,1.46330349e-02,5.16912472e-03,1.11240242e-01,5.04110061e-03,0.00,0.00
3325,1.58913032e-02,5.55413317e-03,1.21269635e-01,5.47445328e-03,0.00,0.00
3327.5,1.71495716e-02,5.93916607e-03,1.31504246e-01,5.91666815e-03,0.00,0.00
3330,1.84078399e-02,6.32421895e-03,1.41944073e-01,6.36773624e-03,0.00,0.00
3332.5,1.97914370e-02,6.72534747e-03,1.52564782e-01,6.80669118e-03,0.00,0.00
3335,2.11750341e-02,7.12650394e-03,1.63377432e-01,7.25353905e-03,0.00,0.00
3337.5,2.25586312e-02,7.52768388e-03,1.74382024e-01,7.70827132e-03,0.00,0.00
3340,2.39422284e-02,7.92888373e-03,1.85578557e-01,8.17088105e-03,0.00,0.00
3342.5,2.53752696e-02,8.32717852e-03,1.96080250e-01,8.58651721e-03,0.00,0.00
3345,2.68083107e-02,8.72549520e-03,2.06716438e-01,9.00745054e-03,0.00,0.00
3347.5,2.82413519e-02,9.12383091e-03,2.17487120e-01,9.43367499e-03,0.00,0.00
3350,2.96743931e-02,9.52218326e-03,2.28392298e-01,9.86518542e-03,0.00,0.00
3352.5,3.10892771e-02,9.91040581e-03,2.37482922e-01,1.02230020e-02,0.00,0.00
3355,3.25041612e-02,1.02986416e-02,2.46569055e-01,1.05806814e-02,0.00,0.00
3357.5,3.39190453e-02,1.06868891e-02,2.55650698e-01,1.09382197e-02,0.00,0.00
3360,3.53339293e-02,1.10751472e-02,2.64727850e-01,1.12956134e-02,0.00,0.00
3362.5,3.67314954e-02,1.14588835e-02,2.70962784e-01,1.15432370e-02,0.00,0.00
3365,3.81290614e-02,1.18426272e-02,2.77000288e-01,1.17828573e-02,0.00,0.00
3367.5,3.95266274e-02,1.22263777e-02,2.82840361e-01,1.20144718e-02,0.00,0.00
