LAMBDA,G,G_err,BP,BP_err,RP,RP_err
4635,6.00784775e-01,3.79063952e-03,6.49662820e-01,6.18830000e-04,0.00,0.00
4637.5,6.01321676e-01,3.83038772e-03,6.49901403e-01,5.95472839e-04,0.00,0.00
4640,6.01858577e-01,3.87061527e-03,6.50139746e-01,5.72411257e-04,0.00,0.00
4642.5,6.02496899e-01,3.93017257e-03,6.51811160e-01,5.00501322e-04,0.00,0.00
4645,6.03135221e-01,3.99192894e-03,6.53483924e-01,4.34027152e-04,0.00,0.00
4647.5,6.03773544e-01,4.05578392e-03,6.55158038e-01,3.75944487e-04,0.00,0.00
4650,6.04411866e-01,4.12163998e-03,6.56833503e-01,3.30773801e-04,0.00,0.00
4652.5,6.04989253e-01,4.17000019e-03,6.58557394e-01,3.12450865e-04,0.00,0.00
4655,6.05566641e-01,4.21899926e-03,6.60283537e-01,3.02025804e-04,0.00,0.00
4657.5,6.06144028e-01,4.26861518e-03,6.62011931e-01,3.00397380e-04,0.00,0.00
4660,6.06721415e-01,4.31882671e-03,6.63742577e-01,3.07778844e-04,0.00,0.00
4662.5,6.07148623e-01,4.32134631e-03,6.64190318e-01,3.00627886e-04,0.00,0.00
4665,6.07575831e-01,4.32427991e-03,6.64635931e-01,2.99646144e-04,0.00,0.00
4667.5,6.08003038e-01,4.32762667e-03,6.65079415e-01,3.04954442e-04,0.00,0.00
4670,6.08430246e-01,4.33138564e-03,6.65520771e-01,3.16295407e-04,0.00,0.00
4672.5,6.08869602e-01,4.33654572e-03,6.66014957e-01,3.29030594e-04,0.00,0.00
4675,6.09308959e-01,4.34201928e-03,6.66507612e-01,3.44808125e-04,0.00,0.00
4677.5,6.09748315e-01,4.34780514e-03,6.66998737e-01,3.63261281e-04,0.00,0.00
4680,6.10187671e-01,4.35390205e-03,6.67488331e-01,3.84032527e-04,0.00,0.00
4682.5,6.10801107e-01,4.40134798e-03,6.69204225e-01,3.43605288e-04,0.00,0.00
4685,6.11414542e-01,4.44961945e-03,6.70922150e-01,3.14459145e-04,0.00,0.00
4687.5,6.12027978e-01,4.49868990e-03,6.72642105e-01,2.99996751e-04,0.00,0.00
4690,6.12641414e-01,4.54853346e-03,6.74364090e-01,3.02427477e-04,0.00,0.00
4692.5,6.13128895e-01,4.56065668e-03,6.74585286e-01,3.01589568e-04,0.00,0.00
4695,6.13616376e-01,4.57284564e-03,6.74806418e-01,3.00867316e-04,0.00,0.00
4697.5,6.14103858e-01,4.58509981e-03,6.75027486e-01,3.00261869e-04,0.00,0.00
4700,6.14591339e-01,4.59741866e-03,6.75248489e-01,2.99774250e-04,0.00,0.00
4702.5,6.15015458e-01,4.59052207e-03,6.74275626e-01,2.99038820e-04,0.00,0.00
4705,6.15439577e-01,4.58425010e-03,6.73303361e-01,3.04768358e-04,0.00,0.00
4707.5,6.15863696e-01,4.57860531e-03,6.72331696e-01,3.16595608e-04,0.00,0.00
4710,6.16287815e-01,4.57359002e-03,6.71360630e-01,3.33857566e-04,0.00,0.00
4712.5,6.16908073e-01,4.61776971e-03,6.71774328e-01,3.05698538e-04,0.00,0.00
4715,6.17528331e-01,4.66276296e-03,6.72185103e-01,2.97434137e-04,0.00,0.00
4717.5,6.18148588e-01,4.70854646e-03,6.72592953e-01,3.10505890e-04,0.00,0.00
4720,6.18768846e-01,4.75509738e-03,6.72997879e-01,3.42343352e-04,0.00,0.00
4722.5,6.19305564e-01,4.77754067e-03,6.72259977e-01,3.57962427e-04,0.00,0.00
4725,6.19842281e-01,4.80002178e-03,6.71520476e-01,3.75301616e-04,0.00,0.00
4727.5,6.20378999e-01,4.82254020e-03,6.70779375e-01,3.94109203e-04,0.00,0.00
4730,6.20915717e-01,4.84509540e-03,6.70036676e-01,4.14161726e-04,0.00,0.00
4732.5,6.21337305e-01,4.83424046e-03,6.67976990e-01,3.88209806e-04,0.00,0.00
4735,6.21758893e-01,4.82399983e-03,6.65919887e-01,3.64476479e-04,0.00,0.00
4737.5,6.22180481e-01,4.81437743e-03,6.63865367e-01,3.43367552e-04,0.00,0.00
4740,6.22602069e-01,4.80537696e-03,6.61813429e-01,3.25336934e-04,0.00,0.00
4742.5,6.23064495e-01,4.80722598e-03,6.60203318e-01,3.21727963e-04,0.00,0.00
4745,6.23526921e-01,4.80926046e-03,6.58593825e-01,3.18312470e-04,0.00,0.00
4747.5,6.23989346e-01,4.81148014e-03,6.56984951e-01,3.15093865e-04,0.00,0.00
4750,6.24451772e-01,4.81388478e-03,6.55376694e-01,3.12075341e-04,0.00,0.00
4752.5,6.24997318e-01,4.83688889e-03,6.54627040e-01,3.31133213e-04,0.00,0.00
4755,6.25542864e-01,4.85999565e-03,6.53874351e-01,3.55309231e-04,0.00,0.00
4757.5,6.26088410e-01,4.88320360e-03,6.53118629e-01,3.83560857e-04,0.00,0.00
4760,6.26633957e-01,4.90651129e-03,6.52359872e-01,4.14986610e-04,0.00,0.00
4762.5,6.27213758e-01,4.93810674e-03,6.52296663e-01,4.65986669e-04,0.00,0.00
4765,6.27793560e-01,4.97004556e-03,6.52230114e-01,5.20771232e-04,0.00,0.00
4767.5,6.28373362e-01,5.00232118e-03,6.52160227e-01,5.78185517e-04,0.00,0.00
4770,6.28953164e-01,5.03492711e-03,6.52087000e-01,6.37446966e-04,0.00,0.00
4772.5,6.29434869e-01,5.04094911e-03,6.51745511e-01,6.51014971e-04,0.00,0.00
4775,6.29916575e-01,5.04701550e-03,6.51403698e-01,6.64633685e-04,0.00,0.00
4777.5,6.30398280e-01,5.05312613e-03,6.51061562e-01,6.78298301e-04,0.00,0.00
4780,6.30879986e-01,5.05928084e-03,6.50719102e-01,6.92004386e-04,0.00,0.00
4782.5,6.31255180e-01,5.03743653e-03,6.50262152e-01,6.54526890e-04,0.00,0.00
4785,6.31630374e-01,5.01666537e-03,6.49804712e-01,6.17630091e-04,0.00,0.00
4787.5,6.32005568e-01,4.99698072e-03,6.49346782e-01,5.81431121e-04,0.00,0.00
4790,6.32380763e-01,4.97839549e-03,6.48888362e-01,5.46075778e-04,0.00,0.00
4792.5,6.32756282e-01,4.96101827e-03,6.48966062e-01,5.14554133e-04,0.00,0.00
4795,6.33131801e-01,4.94470281e-03,6.49042307e-01,4.84058764e-04,0.00,0.00
4797.5,6.33507321e-01,4.92945965e-03,6.49117098e-01,4.54818996e-04,0.00,0.00
4800,6.33882840e-01,4.91529876e-03,6.49190434e-01,4.27117159e-04,0.00,0.00
4802.5,6.34503427e-01,4.95160419e-03,6.52273446e-01,5.08696368e-04,0.00,0.00
4805,6.35124014e-01,4.98908659e-03,6.55363761e-01,5.98500464e-04,0.00,0.00
4807.5,6.35744600e-01,5.02771963e-03,6.58461379e-01,6.93569796e-04,0.00,0.00
4810,6.36365187e-01,5.06747699e-03,6.61566300e-01,7.92211969e-04,0.00,0.00
4812.5,6.36727479e-01,5.04716101e-03,6.62687072e-01,7.54499500e-04,0.00,0.00
4815,6.37089771e-01,5.02804401e-03,6.63803795e-01,7.17060524e-04,0.00,0.00
4817.5,6.37452063e-01,5.01013971e-03,6.64916468e-01,6.79986167e-04,0.00,0.00
4820,6.37814355e-01,4.99346115e-03,6.66025090e-01,6.43388312e-04,0.00,0.00
4822.5,6.38082348e-01,4.96144102e-03,6.66277002e-01,5.65915685e-04,0.00,0.00
4825,6.38350341e-01,4.93293063e-03,6.66521166e-01,4.93261181e-04,0.00,0.00
4827.5,6.38618334e-01,4.90799116e-03,6.66757583e-01,4.28204844e-04,0.00,0.00
4830,6.38886328e-01,4.88667728e-03,6.66986253e-01,3.75090877e-04,0.00,0.00
4832.5,6.39273022e-01,4.88328925e-03,6.67660239e-01,3.65850569e-04,0.00,0.00
4835,6.39659717e-01,4.88066080e-03,6.68332900e-01,3.57824221e-04,0.00,0.00
4837.5,6.40046412e-01,4.87879314e-03,6.69004234e-01,3.51109945e-04,0.00,0.00
4840,6.40433107e-01,4.87768715e-03,6.69674243e-01,3.45799307e-04,0.00,0.00
4842.5,6.40914490e-01,4.88718225e-03,6.70625490e-01,3.59950150e-04,0.00,0.00
4845,6.41395873e-01,4.89668368e-03,6.71577404e-01,3.77610257e-04,0.00,0.00
4847.5,6.41877256e-01,4.90619141e-03,6.72529985e-01,3.98327497e-04,0.00,0.00
4850,6.42358639e-01,4.91570539e-03,6.73483233e-01,4.21665081e-04,0.00,0.00
4852.5,6.42834172e-01,4.92501210e-03,6.73483620e-01,4.45732656e-04,0.00,0.00
4855,6.43309704e-01,4.93432350e-03,6.73483243e-01,4.71481613e-04,0.00,0.00
4857.5,6.43785237e-01,4.94363956e-03,6.73482104e-01,4.98638923e-04,0.00,0.00
4860,6.44260770e-01,4.95296025e-03,6.73480203e-01,5.26974967e-04,0.00,0.00
4862.5,6.44729023e-01,4.96180042e-03,6.73063729e-01,5.54550634e-04,0.00,0.00
4865,6.45197276e-01,4.97064473e-03,6.72645999e-01,5.82842099e-04,0.00,0.00
4867.5,6.45665529e-01,4.97949313e-03,6.72227010e-01,6.11733969e-04,0.00,0.00
4870,6.46133783e-01,4.98834562e-03,6.71806765e-01,6.41129767e-04,0.00,0.00
4872.5,6.46515191e-01,4.98869545e-03,6.70307712e-01,6.28834319e-04,0.00,0.00
4875,6.46896600e-01,4.98958973e-03,6.68809690e-01,6.16729715e-04,0.00,0.00
4877.5,6.47278009e-01,4.99102817e-03,6.67312699e-01,6.04823291e-04,0.00,0.00
4880,6.47659418e-01,4.99301029e-03,6.65816738e-01,5.93122794e-04,0.00,0.00
4882.5,6.48035303e-01,4.99571883e-03,6.64787193e-01,5.81520559e-04,0.00,0.00
4885,6.48411189e-01,4.99894502e-03,6.63758296e-01,5.70143621e-04,0.00,0.00
4887.5,6.48787074e-01,5.00268787e-03,6.62730047e-01,5.59002863e-04,0.00,0.00
4890,6.49162960e-01,5.00694621e-03,6.61702446e-01,5.48109763e-04,0.00,0.00
4892.5,6.49558911e-01,5.01290028e-03,6.61494749e-01,5.47507438e-04,0.00,0.00
4895,6.49954862e-01,5.01909714e-03,6.61287083e-01,5.46931861e-04,0.00,0.00
4897.5,6.50350813e-01,5.02553589e-03,6.61079451e-01,5.46383090e-04,0.00,0.00
4900,6.50746764e-01,5.03221561e-03,6.60871850e-01,5.45861181e-04,0.00,0.00
4902.5,6.51102045e-01,5.03783520e-03,6.60865788e-01,5.31073968e-04,0.00,0.00
4905,6.51457325e-01,5.04408193e-03,6.60859235e-01,5.16807456e-04,0.00,0.00
4907.5,6.51812606e-01,5.05095347e-03,6.60852192e-01,5.03109561e-04,0.00,0.00
4910,6.52167886e-01,5.05844727e-03,6.60844658e-01,4.90031692e-04,0.00,0.00
4912.5,6.52442732e-01,5.06588660e-03,6.60552324e-01,4.51698365e-04,0.00,0.00
4915,6.52717579e-01,5.07554710e-03,6.60257376e-01,4.20363044e-04,0.00,0.00
4917.5,6.52992425e-01,5.08741611e-03,6.59959816e-01,3.97764052e-04,0.00,0.00
4920,6.53267272e-01,5.10147823e-03,6.59659644e-01,3.85524553e-04,0.00,0.00
4922.5,6.53632957e-01,5.11185946e-03,6.60077410e-01,3.86252699e-04,0.00,0.00
4925,6.53998642e-01,5.12263177e-03,6.60494696e-01,3.87319314e-04,0.00,0.00
4927.5,6.54364328e-01,5.13379270e-03,6.60911503e-01,3.88723626e-04,0.00,0.00
4930,6.54730013e-01,5.14533972e-03,6.61327831e-01,3.90464003e-04,0.00,0.00
4932.5,6.55191805e-01,5.14975252e-03,6.62369497e-01,3.95845484e-04,0.00,0.00
4935,6.55653596e-01,5.15424299e-03,6.63411942e-01,4.06604968e-04,0.00,0.00
4937.5,6.56115388e-01,5.15881094e-03,6.64455166e-01,4.22350656e-04,0.00,0.00
4940,6.56577180e-01,5.16345615e-03,6.65499168e-01,4.42568841e-04,0.00,0.00
4942.5,6.57119175e-01,5.16301071e-03,6.67178266e-01,4.93303819e-04,0.00,0.00
4945,6.57661170e-01,5.16359730e-03,6.68858621e-01,5.55994705e-04,0.00,0.00
4947.5,6.58203165e-01,5.16521555e-03,6.70540231e-01,6.27105661e-04,0.00,0.00
4950,6.58745160e-01,5.16786450e-03,6.72223098e-01,7.04125602e-04,0.00,0.00
4952.5,6.59123554e-01,5.17404194e-03,6.72313477e-01,7.07651665e-04,0.00,0.00
4955,6.59501948e-01,5.18038330e-03,6.72403846e-01,7.11182715e-04,0.00,0.00
4957.5,6.59880342e-01,5.18688799e-03,6.72494204e-01,7.14718698e-04,0.00,0.00
4960,6.60258736e-01,5.19355541e-03,6.72584551e-01,7.18259566e-04,0.00,0.00
4962.5,6.60598096e-01,5.20104812e-03,6.72385806e-01,7.07535148e-04,0.00,0.00
4965,6.60937455e-01,5.20899103e-03,6.72186974e-01,6.96928861e-04,0.00,0.00
4967.5,6.61276815e-01,5.21738210e-03,6.71988055e-01,6.86446436e-04,0.00,0.00
4970,6.61616174e-01,5.22621917e-03,6.71789049e-01,6.76093894e-04,0.00,0.00
4972.5,6.61941909e-01,5.23536702e-03,6.71721336e-01,6.62783620e-04,0.00,0.00
4975,6.62267644e-01,5.24504581e-03,6.71653313e-01,6.49690676e-04,0.00,0.00
4977.5,6.62593379e-01,5.25525261e-03,6.71584978e-01,6.36829812e-04,0.00,0.00
4980,6.62919113e-01,5.26598435e-03,6.71516332e-01,6.24216749e-04,0.00,0.00
4982.5,6.63100953e-01,5.29010439e-03,6.70260344e-01,5.56341770e-04,0.00,0.00
4985,6.63282792e-01,5.31790550e-03,6.69002801e-01,4.98648450e-04,0.00,0.00
4987.5,6.63464632e-01,5.34933027e-03,6.67743704e-01,4.55088885e-04,0.00,0.00
4990,6.63646471e-01,5.38431527e-03,6.66483052e-01,4.30046601e-04,0.00,0.00
4992.5,6.63904889e-01,5.40852743e-03,6.65884958e-01,4.25912133e-04,0.00,0.00
4995,6.64163307e-01,5.43406876e-03,6.65286177e-01,4.27869618e-04,0.00,0.00
4997.5,6.64421725e-01,5.46092059e-03,6.64686707e-01,4.35851284e-04,0.00,0.00
5000,6.64680143e-01,5.48906370e-03,6.64086548e-01,4.49550239e-04,0.00,0.00
5002.5,6.65048041e-01,5.49548920e-03,6.64237171e-01,4.46264087e-04,0.00,0.00
5005,6.65415939e-01,5.50193530e-03,6.64387804e-01,4.43393271e-04,0.00,0.00
5007.5,6.65783836e-01,5.50840193e-03,6.64538448e-01,4.40946014e-04,0.00,0.00
5010,6.66151734e-01,5.51488902e-03,6.64689102e-01,4.38929508e-04,0.00,0.00
5012.5,6.66677313e-01,5.48999059e-03,6.65958224e-01,4.32915392e-04,0.00,0.00
5015,6.67202891e-01,5.46670466e-03,6.67226166e-01,4.52436725e-04,0.00,0.00
5017.5,6.67728469e-01,5.44505193e-03,6.68492928e-01,4.94425530e-04,0.00,0.00
5020,6.68254048e-01,5.42505195e-03,6.69758509e-01,5.53747551e-04,0.00,0.00
5022.5,6.68508153e-01,5.44551673e-03,6.68546256e-01,5.28100923e-04,0.00,0.00
5025,6.68762259e-01,5.46669496e-03,6.67335034e-01,5.05018605e-04,0.00,0.00
5027.5,6.69016364e-01,5.48857839e-03,6.66124843e-01,4.84850736e-04,0.00,0.00
5030,6.69270470e-01,5.51115863e-03,6.64915682e-01,4.67957486e-04,0.00,0.00
5032.5,6.69513030e-01,5.53491055e-03,6.63569821e-01,4.53766999e-04,0.00,0.00
5035,6.69755591e-01,5.55931792e-03,6.62225269e-01,4.44184917e-04,0.00,0.00
5037.5,6.69998152e-01,5.58437216e-03,6.60882026e-01,4.39488145e-04,0.00,0.00
5040,6.70240713e-01,5.61006460e-03,6.59540092e-01,4.39808665e-04,0.00,0.00
5042.5,6.70587664e-01,5.61256523e-03,6.59350771e-01,4.40264113e-04,0.00,0.00
5045,6.70934615e-01,5.61509505e-03,6.59161320e-01,4.41212216e-04,0.00,0.00
5047.5,6.71281566e-01,5.61765403e-03,6.58971739e-01,4.42648365e-04,0.00,0.00
5050,6.71628517e-01,5.62024212e-03,6.58782028e-01,4.44566396e-04,0.00,0.00
5052.5,6.71927078e-01,5.63051118e-03,6.58603526e-01,4.45084183e-04,0.00,0.00
5055,6.72225638e-01,5.64079475e-03,6.58424983e-01,4.45807827e-04,0.00,0.00
5057.5,6.72524198e-01,5.65109276e-03,6.58246399e-01,4.46736430e-04,0.00,0.00
5060,6.72822759e-01,5.66140513e-03,6.58067776e-01,4.47868826e-04,0.00,0.00
5062.5,6.73222714e-01,5.64970708e-03,6.59082660e-01,4.52195902e-04,0.00,0.00
5065,6.73622669e-01,5.63866757e-03,6.60098255e-01,4.61851880e-04,0.00,0.00
5067.5,6.74022625e-01,5.62829046e-03,6.61114559e-01,4.76529568e-04,0.00,0.00
5070,6.74422580e-01,5.61857943e-03,6.62131575e-01,4.95799181e-04,0.00,0.00
5072.5,6.74641477e-01,5.63957803e-03,6.61970110e-01,4.80522026e-04,0.00,0.00
5075,6.74860374e-01,5.66086861e-03,6.61807035e-01,4.69516094e-04,0.00,0.00
5077.5,6.75079271e-01,5.68244787e-03,6.61642350e-01,4.63114812e-04,0.00,0.00
5080,6.75298168e-01,5.70431255e-03,6.61476054e-01,4.61538768e-04,0.00,0.00
5082.5,6.75407488e-01,5.74615817e-03,6.60437260e-01,4.72930747e-04,0.00,0.00
5085,6.75516808e-01,5.78963001e-03,6.59395211e-01,5.06021509e-04,0.00,0.00
5087.5,6.75626128e-01,5.83469172e-03,6.58349907e-01,5.57070044e-04,0.00,0.00
5090,6.75735448e-01,5.88130676e-03,6.57301347e-01,6.21769818e-04,0.00,0.00
5092.5,6.76098088e-01,5.86748704e-03,6.58346045e-01,5.96745232e-04,0.00,0.00
5095,6.76460727e-01,5.85437846e-03,6.59391572e-01,5.73651881e-04,0.00,0.00
5097.5,6.76823366e-01,5.84198578e-03,6.60437926e-01,5.52746489e-04,0.00,0.00
5100,6.77186006e-01,5.83031359e-03,6.61485109e-01,5.34301077e-04,0.00,0.00
5102.5,6.77553325e-01,5.81714488e-03,6.62370107e-01,5.16786683e-04,0.00,0.00
5105,6.77920644e-01,5.80488622e-03,6.63255610e-01,5.02970988e-04,0.00,0.00
5107.5,6.78287964e-01,5.79354339e-03,6.64141617e-01,4.93175835e-04,0.00,0.00
5110,6.78655283e-01,5.78312177e-03,6.65028130e-01,4.87654589e-04,0.00,0.00
5112.5,6.78843326e-01,5.80357861e-03,6.64170828e-01,4.97520915e-04,0.00,0.00
5115,6.79031369e-01,5.82422281e-03,6.63313486e-01,5.12301604e-04,0.00,0.00
5117.5,6.79219412e-01,5.84505239e-03,6.62456103e-01,5.31587560e-04,0.00,0.00
5120,6.79407455e-01,5.86606537e-03,6.61598681e-01,5.54909886e-04,0.00,0.00
5122.5,6.79459006e-01,5.91227705e-03,6.59668090e-01,6.23035577e-04,0.00,0.00
5125,6.79510557e-01,5.96051206e-03,6.57737257e-01,7.06194193e-04,0.00,0.00
5127.5,6.79562108e-01,6.01072171e-03,6.55806181e-01,7.99716755e-04,0.00,0.00
5130,6.79613659e-01,6.06285693e-03,6.53874862e-01,9.00385730e-04,0.00,0.00
5132.5,6.80032216e-01,6.03046930e-03,6.54970740e-01,8.34088360e-04,0.00,0.00
5135,6.80450773e-01,6.00020385e-03,6.56066416e-01,7.70866941e-04,0.00,0.00
5137.5,6.80869330e-01,5.97209286e-03,6.57161888e-01,7.11536842e-04,0.00,0.00
5140,6.81287888e-01,5.94616687e-03,6.58257157e-01,6.57147452e-04,0.00,0.00
5142.5,6.81530294e-01,5.95286608e-03,6.57931395e-01,6.66696255e-04,0.00,0.00
5145,6.81772700e-01,5.95959326e-03,6.57605658e-01,6.76363066e-04,0.00,0.00
5147.5,6.82015106e-01,5.96634829e-03,6.57279947e-01,6.86142834e-04,0.00,0.00
5150,6.82257512e-01,5.97313110e-03,6.56954261e-01,6.96030732e-04,0.00,0.00
5152.5,6.82388686e-01,5.99957358e-03,6.55566991e-01,7.48252022e-04,0.00,0.00
5155,6.82519859e-01,6.02649304e-03,6.54180388e-01,8.03613804e-04,0.00,0.00
5157.5,6.82651032e-01,6.05388314e-03,6.52794453e-01,8.61500682e-04,0.00,0.00
5160,6.82782206e-01,6.08173750e-03,6.51409185e-01,9.21427374e-04,0.00,0.00
5162.5,6.82976836e-01,6.09519596e-03,6.50682913e-01,9.50796998e-04,0.00,0.00
5165,6.83171466e-01,6.10867475e-03,6.49956841e-01,9.80479012e-04,0.00,0.00
5167.5,6.83366096e-01,6.12217373e-03,6.49230968e-01,1.01044476e-03,0.00,0.00
5170,6.83560726e-01,6.13569276e-03,6.48505295e-01,1.04066863e-03,0.00,0.00
5172.5,6.83716969e-01,6.15592775e-03,6.47317996e-01,1.08751793e-03,0.00,0.00
5175,6.83873211e-01,6.17630875e-03,6.46131468e-01,1.13487640e-03,0.00,0.00
5177.5,6.84029454e-01,6.19683434e-03,6.44945711e-01,1.18267681e-03,0.00,0.00
5180,6.84185696e-01,6.21750307e-03,6.43760726e-01,1.23086183e-03,0.00,0.00
5182.5,6.84479044e-01,6.20726617e-03,6.43521574e-01,1.21072638e-03,0.00,0.00
5185,6.84772392e-01,6.19750852e-03,6.43282071e-01,1.19071781e-03,0.00,0.00
5187.5,6.85065740e-01,6.18823241e-03,6.43042216e-01,1.17084069e-03,0.00,0.00
5190,6.85359088e-01,6.17943999e-03,6.42802010e-01,1.15109990e-03,0.00,0.00
5192.5,6.85760920e-01,6.14945460e-03,6.43674255e-01,1.07908685e-03,0.00,0.00
5195,6.86162752e-01,6.12194244e-03,6.44545503e-01,1.00875065e-03,0.00,0.00
5197.5,6.86564584e-01,6.09693700e-03,6.45415754e-01,9.40448870e-04,0.00,0.00
5200,6.86966416e-01,6.07446924e-03,6.46285007e-01,8.74638124e-04,0.00,0.00
5202.5,6.87231599e-01,6.07249739e-03,6.46364944e-01,8.67319629e-04,0.00,0.00
5205,6.87496782e-01,6.07086129e-03,6.46444884e-01,8.60066538e-04,0.00,0.00
5207.5,6.87761965e-01,6.06956119e-03,6.46524828e-01,8.52880544e-04,0.00,0.00
5210,6.88027147e-01,6.06859733e-03,6.46604776e-01,8.45763381e-04,0.00,0.00
5212.5,6.88166331e-01,6.08387867e-03,6.45782451e-01,8.92106138e-04,0.00,0.00
5215,6.88305515e-01,6.09932768e-03,6.44959640e-01,9.39779874e-04,0.00,0.00
5217.5,6.88444699e-01,6.11494309e-03,6.44136342e-01,9.88597115e-04,0.00,0.00
5220,6.88583883e-01,6.13072363e-03,6.43312557e-01,1.03840142e-03,0.00,0.00
5222.5,6.88679926e-01,6.15186788e-03,6.42290970e-01,1.10683070e-03,0.00,0.00
5225,6.88775969e-01,6.17349868e-03,6.41268291e-01,1.17659943e-03,0.00,0.00
5227.5,6.88872011e-01,6.19561092e-03,6.40244522e-01,1.24749540e-03,0.00,0.00
5230,6.88968054e-01,6.21819947e-03,6.39219661e-01,1.31934874e-03,0.00,0.00
5232.5,6.89157666e-01,6.22497229e-03,6.39140098e-01,1.34469590e-03,0.00,0.00
5235,6.89347277e-01,6.23175214e-03,6.39059875e-01,1.37014452e-03,0.00,0.00
5237.5,6.89536889e-01,6.23853899e-03,6.38978991e-01,1.39569109e-03,0.00,0.00
5240,6.89726500e-01,6.24533282e-03,6.38897446e-01,1.42133231e-03,0.00,0.00
5242.5,6.89982596e-01,6.24018844e-03,6.39322338e-01,1.41037746e-03,0.00,0.00
5245,6.90238692e-01,6.23544247e-03,6.39747332e-01,1.39944188e-03,0.00,0.00
5247.5,6.90494788e-01,6.23109582e-03,6.40172429e-01,1.38852641e-03,0.00,0.00
5250,6.90750884e-01,6.22714932e-03,6.40597629e-01,1.37763190e-03,0.00,0.00
5252.5,6.90921075e-01,6.23487229e-03,6.40024412e-01,1.40550619e-03,0.00,0.00
5255,6.91091267e-01,6.24259786e-03,6.39451219e-01,1.43346368e-03,0.00,0.00
5257.5,6.91261458e-01,6.25032602e-03,6.38878051e-01,1.46149952e-03,0.00,0.00
5260,6.91431649e-01,6.25805677e-03,6.38304908e-01,1.48960919e-03,0.00,0.00
5262.5,6.91603225e-01,6.26509932e-03,6.37492530e-01,1.51500848e-03,0.00,0.00
5265,6.91774802e-01,6.27214442e-03,6.36680627e-01,1.54044036e-03,0.00,0.00
5267.5,6.91946378e-01,6.27919204e-03,6.35869199e-01,1.56590197e-03,0.00,0.00
5270,6.92117954e-01,6.28624219e-03,6.35058246e-01,1.59139058e-03,0.00,0.00
5272.5,6.92259558e-01,6.29658723e-03,6.33629418e-01,1.62753547e-03,0.00,0.00
5275,6.92401161e-01,6.30696530e-03,6.32202200e-01,1.66369852e-03,0.00,0.00
5277.5,6.92542765e-01,6.31737624e-03,6.30776592e-01,1.69987244e-03,0.00,0.00
5280,6.92684368e-01,6.32781991e-03,6.29352592e-01,1.73605058e-03,0.00,0.00
5282.5,6.92785418e-01,6.34386603e-03,6.27356846e-01,1.79063803e-03,0.00,0.00
5285,6.92886468e-01,6.36014148e-03,6.25364268e-01,1.84523296e-03,0.00,0.00
5287.5,6.92987517e-01,6.37664450e-03,6.23374858e-01,1.89981772e-03,0.00,0.00
5290,6.93088567e-01,6.39337334e-03,6.21388616e-01,1.95437667e-03,0.00,0.00
5292.5,6.93200158e-01,6.40756220e-03,6.19421120e-01,2.00196145e-03,0.00,0.00
5295,6.93311749e-01,6.42188480e-03,6.17456725e-01,2.04947164e-03,0.00,0.00
5297.5,6.93423340e-01,6.43634024e-03,6.15495433e-01,2.09689955e-03,0.00,0.00
5300,6.93534931e-01,6.45092763e-03,6.13537242e-01,2.14423817e-03,0.00,0.00
5302.5,6.93824743e-01,6.43350102e-03,6.13037054e-01,2.09796687e-03,0.00,0.00
5305,6.94114555e-01,6.41720656e-03,6.12534857e-01,2.05193306e-03,0.00,0.00
5307.5,6.94404368e-01,6.40205291e-03,6.12030653e-01,2.00614187e-03,0.00,0.00
5310,6.94694180e-01,6.38804818e-03,6.11524441e-01,1.96059883e-03,0.00,0.00
5312.5,6.94940068e-01,6.37987261e-03,6.10620052e-01,1.93408190e-03,0.00,0.00
5315,6.95185956e-01,6.37233565e-03,6.09714673e-01,1.90768913e-03,0.00,0.00
5317.5,6.95431845e-01,6.36543957e-03,6.08808304e-01,1.88142165e-03,0.00,0.00
5320,6.95677733e-01,6.35918646e-03,6.07900945e-01,1.85528065e-03,0.00,0.00
5322.5,6.95921084e-01,6.35297426e-03,6.07159306e-01,1.82826389e-03,0.00,0.00
5325,6.96164434e-01,6.34748430e-03,6.06416740e-01,1.80137413e-03,0.00,0.00
5327.5,6.96407785e-01,6.34271846e-03,6.05673246e-01,1.77461299e-03,0.00,0.00
5330,6.96651136e-01,6.33867836e-03,6.04928825e-01,1.74798222e-03,0.00,0.00
5332.5,6.96907433e-01,6.33320389e-03,6.04314906e-01,1.71089244e-03,0.00,0.00
5335,6.97163729e-01,6.32880219e-03,6.03699455e-01,1.67402746e-03,0.00,0.00
5337.5,6.97420026e-01,6.32547550e-03,6.03082472e-01,1.63739328e-03,0.00,0.00
5340,6.97676323e-01,6.32322552e-03,6.02463958e-01,1.60099637e-03,0.00,0.00
5342.5,6.97710298e-01,6.33406351e-03,6.00525219e-01,1.66722260e-03,0.00,0.00
5345,6.97744273e-01,6.34534017e-03,5.98589383e-01,1.73364979e-03,0.00,0.00
5347.5,6.97778248e-01,6.35705317e-03,5.96656451e-01,1.80023547e-03,0.00,0.00
5350,6.97812223e-01,6.36920011e-03,5.94726421e-01,1.86694322e-03,0.00,0.00
5352.5,6.97928927e-01,6.37435262e-03,5.93599822e-01,1.89115091e-03,0.00,0.00
5355,6.98045630e-01,6.37951046e-03,5.92474290e-01,1.91533761e-03,0.00,0.00
5357.5,6.98162334e-01,6.38467361e-03,5.91349824e-01,1.93950200e-03,0.00,0.00
5360,6.98279037e-01,6.38984205e-03,5.90226424e-01,1.96364283e-03,0.00,0.00
