LAMBDA,G,BP,RP,RVS
5950,0.99569,0.92781,0.00014,0.00000
5970,0.99554,0.91337,0.00013,0.00000
5990,0.99294,0.89806,0.00012,0.00000
6010,1.00000,0.89807,0.00015,0.00000
6030,0.99307,0.89545,0.00014,0.00000
6050,0.99219,0.90462,0.00018,0.00000
6070,0.99008,0.91512,0.00021,0.00000
6090,0.99270,0.92608,0.00022,0.00000
6110,0.99335,0.92919,0.00029,0.00000
6130,0.99105,0.92428,0.00038,0.00000
6150,0.99105,0.92023,0.00049,0.00000
6170,0.99054,0.91432,0.00066,0.00000
6190,0.98695,0.90184,0.00093,0.00000
6210,0.98843,0.88965,0.00136,0.00000
6230,0.98941,0.87590,0.00209,0.00000
6250,0.98396,0.86145,0.00331,0.00000
6270,0.98384,0.86135,0.00552,0.00000
6290,0.98119,0.86818,0.00951,0.00000
6310,0.98104,0.87975,0.01735,0.00000
6330,0.98303,0.88878,0.03311,0.00000
6350,0.98035,0.88848,0.06625,0.00000
6370,0.97706,0.88304,0.13640,0.00000
6390,0.97628,0.88025,0.27682,0.00000
6410,0.97301,0.87728,0.49672,0.00000
6430,0.97639,0.88203,0.74096,0.00000
6450,0.97148,0.88055,0.90004,0.00000
6470,0.97392,0.88415,0.96560,0.00000
6490,0.96734,0.87533,0.97098,0.00000
6510,0.96956,0.86393,0.97472,0.00000
6530,0.96640,0.82038,0.97426,0.00000
6550,0.96363,0.73353,0.97503,0.00000
6570,0.96081,0.60709,0.97445,0.00000
6590,0.95974,0.46594,0.97397,0.00000
6610,0.95761,0.32909,0.97083,0.00000
6630,0.95226,0.20746,0.96520,0.00000
6650,0.95379,0.11592,0.96650,0.00000
6670,0.95297,0.05296,0.96640,0.00000
6690,0.94996,0.02161,0.96499,0.00000
6710,0.94753,0.00936,0.96429,0.00000
6730,0.94851,0.00470,0.96637,0.00000
6750,0.94479,0.00279,0.96313,0.00000
6770,0.94073,0.00190,0.95933,0.00000
6790,0.93799,0.00144,0.95685,0.00000
6810,0.93725,0.00111,0.95678,0.00000
6830,0.93209,0.00079,0.95226,0.00000
6850,0.93111,0.00051,0.95335,0.00000
6870,0.92485,0.00028,0.94982,0.00000
6890,0.92436,0.00014,0.95333,0.00000
6910,0.92005,0.00007,0.95388,0.00000
6930,0.91720,0.00004,0.95641,0.00000
6950,0.91520,0.00003,0.96071,0.00000
6970,0.91514,0.00002,0.96768,0.00000
6990,0.91215,0.00001,0.97172,0.00000
7010,0.91082,0.00001,0.97758,0.00000
7030,0.90317,0.00001,0.97680,0.00000
7050,0.89864,0.00001,0.97870,0.00000
7070,0.89767,0.00001,0.98426,0.00000
7090,0.89363,0.00001,0.98549,0.00000
7110,0.89302,0.00001,0.99059,0.00000
7130,0.88935,0.00001,0.99145,0.00000
7150,0.88683,0.00001,0.99335,0.00000
7170,0.88031,0.00001,0.99130,0.00000
7190,0.87501,0.00000,0.98991,0.00000
7210,0.87413,0.00000,0.99444,0.00000
7230,0.86862,0.00001,0.99370,0.00000
7250,0.86374,0.00001,0.99339,0.00000
7270,0.86229,0.00000,0.99756,0.00000
7290,0.85529,0.00000,0.99505,0.00000
